id_pedido,cif_empresa,id_producto,nombre_producto,destino,provincia,cantidad,fecha_pedido,fecha_caducidad,fecha_entrega_estimada,estado,fecha_entregado
4275237,C37487819,2,Huevos frescos (4 unidades),"42.362387, -3.624425",Burgos,627,2024-12-16,2025-01-13,2025-01-10,En fabricación,
3049362,H60877269,4,Yogur natural 4 unidades (125gr cada uno),"43.443127, -3.864163",Cantabria,624,2024-12-16,2025-01-02,2024-12-30,En fabricación,
8719996,J34567890,16,Tomates maduros (aprox. 1kg),"39.014444, -1.88264",Albacete,974,2024-12-16,2024-12-21,2024-12-18,En fabricación,
1361430,E62924835,12,"Plátanos maduros (6 unidades, aprox. 1kg)","37.269298, -5.994452",Sevilla,861,2024-12-16,2024-12-20,2024-12-17,En fabricación,
8347733,B31135513,14,Espinacas frescas en bolsa 300gr,"37.932005, -1.195947",Murcia,985,2024-12-16,2024-12-19,2024-12-16,En fabricación,
9678969,E48367217,16,Tomates maduros (aprox. 1kg),"39.752122, -8.865028",Leiria,907,2024-12-16,2024-12-21,2024-12-18,En fabricación,
6203112,H19882206,20,Pan fresco de hogaza (500gr),"42.455927, -2.407701",Logroño,858,2024-12-16,2024-12-19,2024-12-16,En fabricación,
6985971,A69030156,12,"Plátanos maduros (6 unidades, aprox. 1kg)","36.407357, -6.128702",Cádiz,557,2024-12-16,2024-12-20,2024-12-17,En fabricación,
4441448,L60867006,13,Fresas frescas (caja de 250gr),"38.007831, -7.855995",Beja,877,2024-12-16,2024-12-18,2024-12-15,En fabricación,
8347000,F86466817,11,"Manzanas rojas (6 unidades, aprox. 1kg)","37.081185, -7.891208",Faro,751,2024-12-16,2024-12-21,2024-12-18,En fabricación,
5947316,E30624932,3,Queso cheddar 200gr,"39.268988, -7.43448",Portalegre,862,2024-12-16,2024-12-30,2024-12-27,En fabricación,
9625455,L15431876,13,Fresas frescas (caja de 250gr),"40.183041, -3.723122",Toledo,880,2024-12-16,2024-12-18,2024-12-15,En fabricación,
9116701,C70723988,15,Lechuga romana 1 unidad,"43.232124, -2.888324",Bizkaia,585,2024-12-16,2024-12-20,2024-12-17,En fabricación,
