id_pedido,cif_empresa,id_producto,nombre_producto,destino,provincia,cantidad,fecha_pedido,fecha_caducidad,fecha_entrega_estimada,estado,fecha_entregado
6425516,D54661573,6,Carne de ternera picada 500gr,"41.541969, -4.663801",Valladolid,914,2024-12-16,2024-12-21,2024-12-18,En fabricación,
8506546,B31135513,12,"Plátanos maduros (6 unidades, aprox. 1kg)","37.932005, -1.195947",Murcia,844,2024-12-16,2024-12-20,2024-12-17,En fabricación,
6861795,K20813122,4,Yogur natural 4 unidades (125gr cada uno),"40.582396, -7.154403",Guarda,663,2024-12-16,2025-01-02,2024-12-30,En fabricación,
8985234,A69030156,13,Fresas frescas (caja de 250gr),"36.407357, -6.128702",Cádiz,793,2024-12-16,2024-12-18,2024-12-15,En fabricación,
6670154,G23456789,14,Espinacas frescas en bolsa 300gr,"38.34061, -0.539066",Alicante,829,2024-12-16,2024-12-19,2024-12-16,En fabricación,
1644669,K41092198,20,Pan fresco de hogaza (500gr),"41.788533, -6.779713",Braganza,937,2024-12-16,2024-12-19,2024-12-16,En fabricación,
8122316,J34567890,4,Yogur natural 4 unidades (125gr cada uno),"39.014444, -1.88264",Albacete,893,2024-12-16,2025-01-02,2024-12-30,En fabricación,
6008286,H18396758,8,Filetes de pescado blanco 500gr,"41.81271, -2.725645",Girona,885,2024-12-16,2024-12-22,2024-12-19,En fabricación,
7937314,A43314608,16,Tomates maduros (aprox. 1kg),"41.604913, 0.679305",Lleida,639,2024-12-16,2024-12-21,2024-12-18,En fabricación,
7179048,C65081215,3,Queso cheddar 200gr,"41.734671, -1.206108",Zaragoza,880,2024-12-16,2024-12-30,2024-12-27,En fabricación,
3776760,L26857763,11,"Manzanas rojas (6 unidades, aprox. 1kg)","41.964811, -4.506013",Palencia,757,2024-12-16,2024-12-21,2024-12-18,En fabricación,
5866991,F59700387,19,Patatas para cocinar (1kg),"37.253795, -7.229716",Huelva,678,2024-12-16,2024-12-24,2024-12-21,En fabricación,
6998098,L15431876,18,Zanahorias frescas (500gr),"40.183041, -3.723122",Toledo,591,2024-12-16,2024-12-19,2024-12-16,En fabricación,
9974837,B87766619,18,Zanahorias frescas (500gr),"43.264309, -1.972006",Gipuzkoa,924,2024-12-16,2024-12-19,2024-12-16,En fabricación,
3202629,H18396758,20,Pan fresco de hogaza (500gr),"41.81271, -2.725645",Girona,967,2024-12-16,2024-12-19,2024-12-16,En fabricación,
1005412,D43972411,6,Carne de ternera picada 500gr,"36.702452, -4.472161",Málaga,882,2024-12-16,2024-12-21,2024-12-18,En fabricación,
5275740,A92333790,14,Espinacas frescas en bolsa 300gr,"42.483562, 1.490046",Andorra la Vella,943,2024-12-16,2024-12-19,2024-12-16,En fabricación,
2922330,H50034039,9,Jamón serrano loncheado 150gr,"38.031997, -4.058837",Jaén,836,2024-12-16,2024-12-31,2024-12-28,En fabricación,
1476864,G16043750,19,Patatas para cocinar (1kg),"42.910419, -8.515368",Ourense,643,2024-12-16,2024-12-24,2024-12-21,En fabricación,
7722862,G23456789,7,Pechuga de pollo fresca 1kg,"38.34061, -0.539066",Alicante,566,2024-12-16,2024-12-20,2024-12-17,En fabricación,
2939416,E30624932,20,Pan fresco de hogaza (500gr),"39.268988, -7.43448",Portalegre,721,2024-12-16,2024-12-19,2024-12-16,En fabricación,
7649653,D90401382,11,"Manzanas rojas (6 unidades, aprox. 1kg)","42.583276, -5.573597",León,552,2024-12-16,2024-12-21,2024-12-18,En fabricación,
2346210,G75232708,17,Cebollas amarillas (aprox. 1kg),"40.96337, -5.734527",Salamanca,901,2024-12-16,2024-12-20,2024-12-17,En fabricación,
9349289,H19882206,6,Carne de ternera picada 500gr,"42.455927, -2.407701",Logroño,585,2024-12-16,2024-12-21,2024-12-18,En fabricación,
2064406,C70723988,13,Fresas frescas (caja de 250gr),"43.232124, -2.888324",Bizkaia,595,2024-12-16,2024-12-18,2024-12-15,En fabricación,
5999860,L74463520,19,Patatas para cocinar (1kg),"39.718055, -1.437577",Cuenca,983,2024-12-16,2024-12-24,2024-12-21,En fabricación,
9978285,H50034039,8,Filetes de pescado blanco 500gr,"38.031997, -4.058837",Jaén,906,2024-12-16,2024-12-22,2024-12-19,En fabricación,
9172774,F34181536,2,Huevos frescos (4 unidades),"41.830116, 0.216181",Huesca,758,2024-12-16,2025-01-13,2025-01-10,En fabricación,
2682240,L60867006,17,Cebollas amarillas (aprox. 1kg),"38.007831, -7.855995",Beja,914,2024-12-16,2024-12-20,2024-12-17,En fabricación,
9268800,F34425120,5,Mantequilla 100gr,"39.449253, -6.381213",Cáceres,970,2024-12-16,2024-12-26,2024-12-23,En fabricación,
5663406,L21420173,20,Pan fresco de hogaza (500gr),"42.463523, 1.491706",Encamp,915,2024-12-16,2024-12-19,2024-12-16,En fabricación,
4023761,K97925950,16,Tomates maduros (aprox. 1kg),"42.552931, 1.590835",Canillo,919,2024-12-16,2024-12-21,2024-12-18,En fabricación,
1344050,C37487819,12,"Plátanos maduros (6 unidades, aprox. 1kg)","42.362387, -3.624425",Burgos,863,2024-12-16,2024-12-20,2024-12-17,En fabricación,
9439934,D64752757,13,Fresas frescas (caja de 250gr),"42.468846, 1.493294",Sant Julià de Lòria,943,2024-12-16,2024-12-18,2024-12-15,En fabricación,
7301043,D54661573,16,Tomates maduros (aprox. 1kg),"41.541969, -4.663801",Valladolid,911,2024-12-16,2024-12-21,2024-12-18,En fabricación,
1102043,J34567890,12,"Plátanos maduros (6 unidades, aprox. 1kg)","39.014444, -1.88264",Albacete,795,2024-12-16,2024-12-20,2024-12-17,En fabricación,
4263601,E62924835,10,Tocino ahumado en lonchas 200gr,"37.269298, -5.994452",Sevilla,736,2024-12-16,2024-12-26,2024-12-23,En fabricación,
2562925,L15431876,19,Patatas para cocinar (1kg),"40.183041, -3.723122",Toledo,772,2024-12-16,2024-12-24,2024-12-21,En fabricación,
9981972,K42111490,19,Patatas para cocinar (1kg),"41.712777, -8.85317",Viana do Castelo,753,2024-12-16,2024-12-24,2024-12-21,En fabricación,
8788706,H60877269,17,Cebollas amarillas (aprox. 1kg),"43.443127, -3.864163",Cantabria,802,2024-12-16,2024-12-20,2024-12-17,En fabricación,
7769986,H18396758,18,Zanahorias frescas (500gr),"41.81271, -2.725645",Girona,627,2024-12-16,2024-12-19,2024-12-16,En fabricación,
1578266,G48706246,8,Filetes de pescado blanco 500gr,"42.788558, -1.625538",Navarra,713,2024-12-16,2024-12-22,2024-12-19,En fabricación,
3572979,E48367217,18,Zanahorias frescas (500gr),"39.752122, -8.865028",Leiria,915,2024-12-16,2024-12-19,2024-12-16,En fabricación,
6764870,B12345678,17,Cebollas amarillas (aprox. 1kg),"43.269516, -8.411087",A Coruña,747,2024-12-16,2024-12-20,2024-12-17,En fabricación,
3646771,K19501659,3,Queso cheddar 200gr,"42.456239, 1.485435",La Massana,922,2024-12-16,2024-12-30,2024-12-27,En fabricación,
5268354,G48706246,8,Filetes de pescado blanco 500gr,"42.788558, -1.625538",Navarra,905,2024-12-16,2024-12-22,2024-12-19,En fabricación,
5312038,H98721977,9,Jamón serrano loncheado 150gr,"40.630214, -7.876921",Viseu,697,2024-12-16,2024-12-31,2024-12-28,En fabricación,
6321259,K42111490,15,Lechuga romana 1 unidad,"41.712777, -8.85317",Viana do Castelo,661,2024-12-16,2024-12-20,2024-12-17,En fabricación,
4079456,G48706246,10,Tocino ahumado en lonchas 200gr,"42.788558, -1.625538",Navarra,873,2024-12-16,2024-12-26,2024-12-23,En fabricación,
3188664,L34845958,2,Huevos frescos (4 unidades),"40.399621, -3.59424",Madrid,657,2024-12-16,2025-01-13,2025-01-10,En fabricación,
2781960,A98765432,9,Jamón serrano loncheado 150gr,"42.808841, -2.806054",Álava,719,2024-12-16,2024-12-31,2024-12-28,En fabricación,
3937795,G16043750,1,Leche entera 500ml,"42.910419, -8.515368",Ourense,764,2024-12-16,2024-12-22,2024-12-19,En fabricación,
9503189,L26857763,12,"Plátanos maduros (6 unidades, aprox. 1kg)","41.964811, -4.506013",Palencia,876,2024-12-16,2024-12-20,2024-12-17,En fabricación,
7971338,K19501659,6,Carne de ternera picada 500gr,"42.456239, 1.485435",La Massana,559,2024-12-16,2024-12-21,2024-12-18,En fabricación,
2596381,A92333790,15,Lechuga romana 1 unidad,"42.483562, 1.490046",Andorra la Vella,869,2024-12-16,2024-12-20,2024-12-17,En fabricación,
